index,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,travel_date,pickup_area,dropoff_area,lyft_cost,lyft_plus_cost,lyft_line_cost,lyft_distance,lyft_duration
5567,1,2016-01-01 00:32:09,2016-01-01 00:42:05,2,3.4,-73.9876708984375,40.73261260986328,1,N,-73.96078491210938,40.76063919067383,1,12.0,0.5,0.5,1.0,0.0,0.3,14.3,2016-01-01,Manhattan,Manhattan,15.00,22.00,9.31,3.03,1124
5568,1,2016-01-01 00:32:09,2016-01-01 00:50:15,1,3.5,-73.97828674316406,40.72483825683594,1,N,-73.94999694824219,40.71687698364258,1,15.0,0.5,0.5,2.44,0.0,0.3,18.74,2016-01-01,Manhattan,Brooklyn,15.50,23.00,12.61,3.36,1113
5569,1,2016-01-01 00:32:10,2016-01-01 00:50:44,1,6.7,-73.90959167480467,40.86165618896485,1,N,-73.85441589355469,40.81888198852539,1,20.5,0.5,0.5,0.0,0.0,0.3,21.8,2016-01-01,Bronx,Bronx,23.00,35.00,21.20,6.58,1425
5570,1,2016-01-01 00:32:10,2016-01-01 01:02:42,1,5.3,-73.97510528564453,40.790351867675774,1,N,-73.986572265625,40.73009872436523,2,22.5,0.5,0.5,0.0,0.0,0.3,23.8,2016-01-01,Manhattan,Manhattan,25.50,39.00,16.30,6.18,2013
5571,1,2016-01-01 00:32:11,2016-01-01 00:35:22,1,0.5,-73.96394348144531,40.76802444458008,1,N,-73.95652770996094,40.766746520996094,1,4.5,0.5,0.5,1.45,0.0,0.3,7.25,2016-01-01,Manhattan,Manhattan,8.50,12.00,5.20,0.54,402
5572,1,2016-01-01 00:32:11,2016-01-01 00:39:01,1,1.0,-73.9991455078125,40.734283447265625,1,N,-73.98674774169923,40.73975372314453,1,6.5,0.5,0.5,1.5,0.0,0.3,9.3,2016-01-01,Manhattan,Manhattan,10.00,14.00,5.23,1.1,624
5573,1,2016-01-01 00:32:11,2016-01-01 00:37:57,1,1.4,0.0,0.0,1,N,0.0,0.0,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,2016-01-01,Not Specified,Not Specified,0.0,0.0,0.0,0.0,0
5574,1,2016-01-01 00:32:12,2016-01-01 00:35:29,1,0.4,-73.97935485839844,40.74934387207031,1,N,-73.97262573242188,40.746131896972656,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,2016-01-01,Manhattan,Manhattan,9.00,12.50,5.22,0.65,484
5575,1,2016-01-01 00:32:12,2016-01-01 00:46:01,2,2.5,-73.9769515991211,40.77985382080078,1,N,-73.9473648071289,40.78369522094727,1,12.0,0.5,0.5,2.65,0.0,0.3,15.95,2016-01-01,Manhattan,Manhattan,14.00,21.00,8.84,2.61,1129
5576,1,2016-01-01 00:32:12,2016-01-01 00:40:15,4,1.4,-73.95479583740234,40.77143096923828,1,N,-73.9615249633789,40.75992202758789,1,7.5,0.5,0.5,1.0,0.0,0.3,9.8,2016-01-01,Manhattan,Manhattan,10.00,14.50,5.45,1.14,674
5577,1,2016-01-01 00:32:12,2016-01-01 00:37:50,1,1.1,-73.9920196533203,40.74922180175781,1,N,-74.00360870361328,40.73662185668945,1,6.0,0.5,0.5,1.46,0.0,0.3,8.76,2016-01-01,Manhattan,Manhattan,10.00,14.50,5.28,1.22,600
5578,1,2016-01-01 00:32:13,2016-01-01 00:39:51,2,1.1,-73.98003387451173,40.73930740356445,1,N,-73.98244476318358,40.75157165527344,1,7.0,0.5,0.5,1.0,0.0,0.3,9.3,2016-01-01,Manhattan,Manhattan,11.00,16.00,6.58,1.33,913
5579,1,2016-01-01 00:32:13,2016-01-01 01:00:25,1,9.1,-74.00361633300781,40.74828720092773,1,N,-73.88597106933594,40.72237777709961,2,30.5,0.5,0.5,0.0,5.54,0.3,37.34,2016-01-01,Manhattan,Queens,35.00,51.00,29.01,8.23,2121
5580,1,2016-01-01 00:32:13,2016-01-01 00:42:28,2,2.0,-73.98751068115234,40.76541519165039,1,N,-73.97833251953125,40.78404235839844,1,10.0,0.5,0.5,2.25,0.0,0.3,13.55,2016-01-01,Manhattan,Manhattan,11.00,16.00,6.55,1.87,746
5581,1,2016-01-01 00:32:14,2016-01-01 01:08:02,1,6.5,-73.93981170654298,40.794189453125,1,N,-74.00625610351562,40.74453353881836,2,26.0,0.5,0.5,0.0,0.0,0.3,27.3,2016-01-01,Manhattan,Manhattan,30.00,46.00,25.08,7.59,2372
5582,1,2016-01-01 00:32:14,2016-01-01 00:50:08,1,3.5,-73.9556655883789,40.77253723144531,1,N,-73.99452209472656,40.74362182617188,2,15.0,0.5,0.5,0.0,0.0,0.3,16.3,2016-01-01,Manhattan,Manhattan,19.50,29.50,12.50,4.18,1610
5583,1,2016-01-01 00:32:14,2016-01-01 01:04:30,1,3.3,-73.97542572021484,40.760704040527344,1,N,-74.00711822509766,40.7387809753418,2,20.5,0.5,0.5,0.0,0.0,0.3,21.8,2016-01-01,Manhattan,Manhattan,17.50,26.00,11.10,3.14,1567
5584,1,2016-01-01 00:32:14,2016-01-01 00:38:01,1,1.5,-73.97657775878906,40.72719192504883,1,N,-73.9989242553711,40.7340202331543,1,7.0,0.5,0.5,1.0,0.0,0.3,9.3,2016-01-01,Manhattan,Manhattan,11.50,16.50,7.10,1.66,952
5585,1,2016-01-01 00:32:15,2016-01-01 00:35:23,1,1.1,-73.96269989013672,40.75893020629883,1,N,-73.9516372680664,40.7708740234375,1,5.0,0.5,0.5,1.25,0.0,0.3,7.55,2016-01-01,Manhattan,Manhattan,9.50,14.00,5.20,1.16,551
5586,1,2016-01-01 00:32:15,2016-01-01 01:00:46,1,7.7,-74.00521087646483,40.719947814941406,1,N,-73.92585754394531,40.697959899902344,3,28.0,0.5,0.5,0.0,0.0,0.3,29.3,2016-01-01,Manhattan,Brooklyn,24.00,36.50,20.10,5.85,1834
5587,1,2016-01-01 00:32:16,2016-01-01 00:52:22,1,8.5,-73.96533966064453,40.774391174316406,1,N,-73.995361328125,40.69253158569336,1,25.5,0.5,0.5,6.7,0.0,0.3,33.5,2016-01-01,Manhattan,Brooklyn,31.00,47.50,25.80,8.66,2141
5588,1,2016-01-01 00:32:16,2016-01-01 00:42:22,1,1.6,-73.98593139648438,40.74232864379883,1,N,-74.00092315673827,40.72934341430664,1,8.5,0.5,0.5,4.0,0.0,0.3,13.8,2016-01-01,Manhattan,Manhattan,11.50,16.00,6.86,1.6,907
5589,1,2016-01-01 00:32:17,2016-01-01 00:35:02,1,0.5,-73.95436096191406,40.77437973022461,1,N,-73.95952606201173,40.76833724975585,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,2016-01-01,Manhattan,Manhattan,8.50,12.00,5.21,0.59,360
5590,1,2016-01-01 00:32:17,2016-01-01 00:38:40,3,0.9,-74.00386047363281,40.72384262084961,1,N,-74.00381469726562,40.73252487182617,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,2016-01-01,Manhattan,Manhattan,9.00,13.00,5.21,0.85,501
